1000000 21.0 0.0 21.0 21.0 21.0
2000000 20.333333333333332 0.4714045207910317 21.0 20.0 20.0
3000000 21.0 1.4142135623730951 23.0 20.0 20.0
4000000 21.333333333333332 1.247219128924647 20.0 21.0 23.0
5000000 20.666666666666668 0.4714045207910317 20.0 21.0 21.0
6000000 21.0 0.0 21.0 21.0 21.0
7000000 21.0 0.0 21.0 21.0 21.0
8000000 18.0 0.0 18.0
9000000 20.333333333333332 0.4714045207910317 20.0 21.0 20.0
10000000 20.666666666666668 0.4714045207910317 21.0 21.0 20.0
11000000 21.0 0.0 21.0 21.0 21.0
