1000000 8.674e-06 0.0 8.674e-06 8.674e-06 8.674e-06
2000000 1.7363666666666668e-05 1.2472191289243635e-09 1.7365e-05 1.7364e-05 1.7362e-05
3000000 2.6051333333333332e-05 4.714045207920654e-10 2.6052e-05 2.6051e-05 2.6051e-05
4000000 3.473033333333333e-05 4.109609335313234e-09 3.4731e-05 3.4735e-05 3.4725e-05
5000000 4.340166666666666e-05 2.8674417556816488e-09 4.3405e-05 4.3402e-05 4.3398e-05
6000000 5.2047999999999994e-05 4.3204937989386365e-09 5.2044e-05 5.2046e-05 5.2054e-05
7000000 6.072e-05 1.8402898322455216e-08 6.0706e-05 6.0708e-05 6.0746e-05
8000000 5.2656e-05 0.0 5.2656e-05
9000000 7.387333333333334e-05 5.7875344971377606e-08 7.3845e-05 7.3821e-05 7.3954e-05
10000000 7.784966666666666e-05 3.602159845919356e-08 7.7814e-05 7.7899e-05 7.7836e-05
11000000 8.093766666666668e-05 3.602159845919528e-08 8.0987e-05 8.0902e-05 8.0924e-05
